study,variable,est,value,type,group
Total,totalc,max,330,Continuous,NA
Total,totalc,freq,631,Continuous,NA
Total,totalc,missing,9,Continuous,NA
Total,insulinf,mean,30.14084084084084,Continuous,NA
Total,insulinf,sd,22.16447856671189,Continuous,NA
Total,insulinf,median,25.3,Continuous,NA
Total,insulinf,q25,17.2,Continuous,NA
Total,insulinf,q75,36.6,Continuous,NA
Total,insulinf,min,2.2,Continuous,NA
Total,insulinf,max,202.5,Continuous,NA
Total,insulinf,freq,333,Continuous,NA
Total,insulinf,missing,307,Continuous,NA
Total,tgl,mean,107.70326409495549,Continuous,NA
Total,tgl,sd,67.06185680491927,Continuous,NA
Total,tgl,median,89,Continuous,NA
Total,tgl,q25,64,Continuous,NA
Total,tgl,q75,130,Continuous,NA
Total,tgl,min,27,Continuous,NA
Total,tgl,max,541,Continuous,NA
Total,tgl,freq,337,Continuous,NA
Total,tgl,missing,303,Continuous,NA
Total,glucosef,mean,106.45994065281899,Continuous,NA
Total,glucosef,sd,21.345911647059875,Continuous,NA
Total,glucosef,median,101,Continuous,NA
Total,glucosef,q25,92,Continuous,NA
Total,glucosef,q75,116,Continuous,NA
Total,glucosef,min,70,Continuous,NA
Total,glucosef,max,214,Continuous,NA
Total,glucosef,freq,337,Continuous,NA
Total,glucosef,missing,303,Continuous,NA
SEARCH,female,proportion,57.0957095709571,Proportion,NA
SEARCH,female,freq,303,Proportion,NA
SEARCH,female,missing,0,Proportion,NA
SEARCH,insulin,proportion,44.518272425249165,Proportion,NA
SEARCH,insulin,freq,301,Proportion,NA
SEARCH,insulin,missing,2,Proportion,NA
SEARCH,metformin,proportion,69.10299003322258,Proportion,NA
SEARCH,metformin,freq,301,Proportion,NA
SEARCH,metformin,missing,2,Proportion,NA
SEARCH,dmfamilyhistory,proportion,52.475247524752476,Proportion,NA
SEARCH,dmfamilyhistory,freq,303,Proportion,NA
SEARCH,dmfamilyhistory,missing,0,Proportion,NA
TODAY,female,proportion,60.23738872403561,Proportion,NA
TODAY,female,freq,337,Proportion,NA
TODAY,female,missing,0,Proportion,NA
TODAY,insulin,proportion,0,Proportion,NA
TODAY,insulin,freq,337,Proportion,NA
TODAY,insulin,missing,0,Proportion,NA
TODAY,metformin,proportion,100,Proportion,NA
TODAY,metformin,freq,337,Proportion,NA
TODAY,metformin,missing,0,Proportion,NA
TODAY,dmfamilyhistory,proportion,89.02077151335311,Proportion,NA
TODAY,dmfamilyhistory,freq,337,Proportion,NA
TODAY,dmfamilyhistory,missing,0,Proportion,NA
Total,female,proportion,58.75,Proportion,NA
Total,female,freq,640,Proportion,NA
Total,female,missing,0,Proportion,NA
Total,insulin,proportion,21.003134796238246,Proportion,NA
Total,insulin,freq,638,Proportion,NA
Total,insulin,missing,2,Proportion,NA
Total,metformin,proportion,85.42319749216301,Proportion,NA
Total,metformin,freq,638,Proportion,NA
Total,metformin,missing,2,Proportion,NA
Total,dmfamilyhistory,proportion,71.71875,Proportion,NA
Total,dmfamilyhistory,freq,640,Proportion,NA
Total,dmfamilyhistory,missing,0,Proportion,NA
SEARCH,cluster,proportion,31.353135313531354,Grouped,yIDD
SEARCH,cluster,freq,95,Grouped,yIDD
SEARCH,cluster,proportion,39.273927392739274,Grouped,yIRD
SEARCH,cluster,freq,119,Grouped,yIRD
SEARCH,cluster,proportion,29.372937293729372,Grouped,yOD
SEARCH,cluster,freq,89,Grouped,yOD
TODAY,cluster,proportion,13.353115727002967,Grouped,yIDD
TODAY,cluster,freq,45,Grouped,yIDD
TODAY,cluster,proportion,24.33234421364985,Grouped,yIRD
TODAY,cluster,freq,82,Grouped,yIRD
TODAY,cluster,proportion,62.31454005934718,Grouped,yOD
TODAY,cluster,freq,210,Grouped,yOD
Total,cluster,proportion,21.875,Grouped,yIDD
Total,cluster,freq,140,Grouped,yIDD
Total,cluster,proportion,31.40625,Grouped,yIRD
Total,cluster,freq,201,Grouped,yIRD
Total,cluster,proportion,46.71875,Grouped,yOD
Total,cluster,freq,299,Grouped,yOD
NA,study,proportion,100,Grouped,SEARCH
NA,study,freq,303,Grouped,SEARCH
NA,study,proportion,100,Grouped,TODAY
NA,study,freq,337,Grouped,TODAY
NA,study,proportion,100,Grouped,Total
NA,study,freq,640,Grouped,Total
SEARCH,dmduration_category,proportion,100,Grouped,<=5 months
SEARCH,dmduration_category,freq,303,Grouped,<=5 months
TODAY,dmduration_category,proportion,100,Grouped,<=5 months
TODAY,dmduration_category,freq,337,Grouped,<=5 months
Total,dmduration_category,proportion,100,Grouped,<=5 months
Total,dmduration_category,freq,640,Grouped,<=5 months
SEARCH,age_category,proportion,11.881188118811881,Grouped,14-15
SEARCH,age_category,freq,36,Grouped,14-15
SEARCH,age_category,proportion,34.98349834983498,Grouped,<=13
SEARCH,age_category,freq,106,Grouped,<=13
SEARCH,age_category,proportion,53.135313531353134,Grouped,>15
SEARCH,age_category,freq,161,Grouped,>15
TODAY,age_category,proportion,30.56379821958457,Grouped,14-15
TODAY,age_category,freq,103,Grouped,14-15
TODAY,age_category,proportion,40.652818991097924,Grouped,<=13
TODAY,age_category,freq,137,Grouped,<=13
TODAY,age_category,proportion,28.783382789317507,Grouped,>15
TODAY,age_category,freq,97,Grouped,>15
Total,age_category,proportion,21.71875,Grouped,14-15
Total,age_category,freq,139,Grouped,14-15
Total,age_category,proportion,37.96875,Grouped,<=13
Total,age_category,freq,243,Grouped,<=13
Total,age_category,proportion,40.3125,Grouped,>15
Total,age_category,freq,258,Grouped,>15
SEARCH,race_eth,proportion,24.422442244224424,Grouped,Hispanic
SEARCH,race_eth,freq,74,Grouped,Hispanic
SEARCH,race_eth,proportion,38.28382838283829,Grouped,NH Black
SEARCH,race_eth,freq,116,Grouped,NH Black
SEARCH,race_eth,proportion,9.570957095709572,Grouped,NH Other
SEARCH,race_eth,freq,29,Grouped,NH Other
SEARCH,race_eth,proportion,27.722772277227723,Grouped,NH White
SEARCH,race_eth,freq,84,Grouped,NH White
TODAY,race_eth,proportion,41.839762611275965,Grouped,Hispanic
TODAY,race_eth,freq,141,Grouped,Hispanic
TODAY,race_eth,proportion,27.596439169139465,Grouped,NH Black
TODAY,race_eth,freq,93,Grouped,NH Black
TODAY,race_eth,proportion,8.6053412462908,Grouped,NH Other
TODAY,race_eth,freq,29,Grouped,NH Other
TODAY,race_eth,proportion,21.958456973293767,Grouped,NH White
