,bmi_residual,bmi_residual,bmi_residual,bmi_residual,bmi_residual,bmi_residual,bmi_residual,bmi_residual,hba1c_residual,hba1c_residual,hba1c_residual,hba1c_residual,hba1c_residual,hba1c_residual,hba1c_residual,hba1c_residual,cpeptidef_residual,cpeptidef_residual,cpeptidef_residual,cpeptidef_residual,cpeptidef_residual,cpeptidef_residual,cpeptidef_residual,cpeptidef_residual,sbp_residual,sbp_residual,sbp_residual,sbp_residual,sbp_residual,sbp_residual,sbp_residual,sbp_residual,dbp_residual,dbp_residual,dbp_residual,dbp_residual,dbp_residual,dbp_residual,dbp_residual,dbp_residual,ldlc_residual,ldlc_residual,ldlc_residual,ldlc_residual,ldlc_residual,ldlc_residual,ldlc_residual,ldlc_residual,hdlc_residual,hdlc_residual,hdlc_residual,hdlc_residual,hdlc_residual,hdlc_residual,hdlc_residual,hdlc_residual
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,311.0,-0.1427867515666645,0.5687817720272222,-2.299765130629994,-0.42535681694851407,-0.18785475036077745,0.2749783076260809,2.2329419489303906,311.0,-0.4364544899785765,0.47697599214237246,-1.3263900180226722,-0.7605851792329303,-0.5095889622741087,-0.1895247324171404,2.5995179148340815,311.0,-0.12517239421910137,0.7627237256941406,-1.7061685046574397,-0.6020566999298542,-0.23961431837483133,0.2268124810250789,2.746005760213343,311.0,-0.43222835854299463,0.7526283872937415,-2.7094235006530365,-0.9191423021093136,-0.44173398286764565,0.0941676949314543,1.589692043466392,311.0,-0.4840123870438113,0.7417085857110988,-3.1155893613943735,-0.9050153752663278,-0.496659211699546,-0.030409667258655692,1.7610000408302233,311.0,-0.37791258250035725,0.7810245901283828,-2.1978080814290983,-0.9166646054458667,-0.39432284540203244,0.15077136573186178,1.773908078156222,311.0,-0.2293352156532771,0.8038821617134261,-2.7867454800220655,-0.7797383379394829,-0.2656966269498696,0.20839477475794685,3.1322387837126553
1,210.0,0.6681544829427624,1.125317276737686,-1.3562836488965042,0.05782079283387683,0.5057685295800866,0.9667349038357411,8.422199203039547,210.0,0.14614986045163694,0.9498281625254534,-1.080649409089898,-0.508886855756504,-0.12607357165983044,0.49178282817764046,3.6781876477083513,210.0,0.7010744358790585,1.0001846773863323,-1.8253264533522784,0.09863286559698958,0.5807708360147045,1.367251171924373,4.125539999199865,210.0,0.8653359148952317,0.8264725588632185,-1.5159027018327538,0.3246957799631473,0.8288225341994403,1.3000604328796603,3.6485154214828492,210.0,0.7697817858829338,0.9442839935090123,-1.4193843519249485,0.1355485637373361,0.7646864309301376,1.357656484339084,4.093595222985877,210.0,0.17173422032132707,0.994548632613153,-2.3420869003112634,-0.4704692491301717,0.11065302068554697,0.7388780190894063,4.911972388843316,210.0,-0.21939067560418246,0.9017974887098106,-2.5675238406244834,-0.7793294040874055,-0.2656966269498696,0.30786676217234277,3.0226279640138642
2,120.0,-0.7992146806728951,0.9135113310654307,-2.7983825002213623,-1.3877326485030785,-0.7192481183100118,-0.18785475036077745,2.0383262589113427,120.0,0.8753822974041128,1.3788157504103873,-1.017198248332588,-0.19022683893474499,0.6261868152817398,1.5884216707940513,5.457628574983449,120.0,-0.9024751411038479,0.6200894370320634,-2.0582260803467354,-1.3707634181024444,-0.9601580914253658,-0.5037474053849444,0.9353567364153257,120.0,-0.39414602184272773,0.863104057812828,-2.649747460770206,-0.9316206444028673,-0.39934231627767436,0.1862288257327609,2.004983654476721,120.0,-0.09271935553992347,0.8489849763437335,-2.7622133177902475,-0.594824480364595,-0.07655538605964968,0.5462698908284012,2.1006547090505148,120.0,0.6788885574177702,1.0817665857108105,-1.977341212780075,-0.0696955029171596,0.648533290875333,1.3550578335442212,4.241303169591541,120.0,0.978294116208729,1.0427462531840954,-1.2521940042389896,0.22909013714147286,0.9638915629754508,1.4880764882307886,3.933526909108534
