study_cca,variable,est,value,type,group
search_excluded,dbp,mean,67.27999999998667,Continuous,NA
search_excluded,dbp,sd,8.819518348783912,Continuous,NA
search_excluded,dbp,median,67.333333333,Continuous,NA
search_excluded,dbp,q25,61,Continuous,NA
search_excluded,dbp,q75,73,Continuous,NA
search_excluded,dbp,min,42.666666667,Continuous,NA
search_excluded,dbp,max,90,Continuous,NA
search_excluded,dbp,freq,75,Continuous,NA
search_excluded,dbp,missing,2,Continuous,NA
search_excluded,ldlc,mean,NA,Continuous,NA
search_excluded,ldlc,sd,NA,Continuous,NA
search_excluded,ldlc,median,NA,Continuous,NA
search_excluded,ldlc,q25,NA,Continuous,NA
search_excluded,ldlc,q75,NA,Continuous,NA
search_excluded,ldlc,min,Inf,Continuous,NA
search_excluded,ldlc,max,-Inf,Continuous,NA
search_excluded,ldlc,freq,0,Continuous,NA
search_excluded,ldlc,missing,77,Continuous,NA
search_excluded,hdlc,mean,NA,Continuous,NA
search_excluded,hdlc,sd,NA,Continuous,NA
search_excluded,hdlc,median,NA,Continuous,NA
search_excluded,hdlc,q25,NA,Continuous,NA
search_excluded,hdlc,q75,NA,Continuous,NA
search_excluded,hdlc,min,Inf,Continuous,NA
search_excluded,hdlc,max,-Inf,Continuous,NA
search_excluded,hdlc,freq,0,Continuous,NA
search_excluded,hdlc,missing,77,Continuous,NA
search_excluded,totalc,mean,NA,Continuous,NA
search_excluded,totalc,sd,NA,Continuous,NA
search_excluded,totalc,median,NA,Continuous,NA
search_excluded,totalc,q25,NA,Continuous,NA
search_excluded,totalc,q75,NA,Continuous,NA
search_excluded,totalc,min,Inf,Continuous,NA
search_excluded,totalc,max,-Inf,Continuous,NA
search_excluded,totalc,freq,0,Continuous,NA
search_excluded,totalc,missing,77,Continuous,NA
search_excluded,insulinf,mean,NA,Continuous,NA
search_excluded,insulinf,sd,NA,Continuous,NA
search_excluded,insulinf,median,NA,Continuous,NA
search_excluded,insulinf,q25,NA,Continuous,NA
search_excluded,insulinf,q75,NA,Continuous,NA
search_excluded,insulinf,min,Inf,Continuous,NA
search_excluded,insulinf,max,-Inf,Continuous,NA
search_excluded,insulinf,freq,0,Continuous,NA
search_excluded,insulinf,missing,77,Continuous,NA
search_excluded,tgl,mean,NA,Continuous,NA
search_excluded,tgl,sd,NA,Continuous,NA
search_excluded,tgl,median,NA,Continuous,NA
search_excluded,tgl,q25,NA,Continuous,NA
search_excluded,tgl,q75,NA,Continuous,NA
search_excluded,tgl,min,Inf,Continuous,NA
search_excluded,tgl,max,-Inf,Continuous,NA
search_excluded,tgl,freq,0,Continuous,NA
search_excluded,tgl,missing,77,Continuous,NA
search_excluded,glucosef,mean,NA,Continuous,NA
search_excluded,glucosef,sd,NA,Continuous,NA
search_excluded,glucosef,median,NA,Continuous,NA
search_excluded,glucosef,q25,NA,Continuous,NA
search_excluded,glucosef,q75,NA,Continuous,NA
search_excluded,glucosef,min,Inf,Continuous,NA
search_excluded,glucosef,max,-Inf,Continuous,NA
search_excluded,glucosef,freq,0,Continuous,NA
search_excluded,glucosef,missing,77,Continuous,NA
search_included,bmi,mean,34.36335056017763,Continuous,NA
search_included,bmi,sd,9.083218372688314,Continuous,NA
search_included,bmi,median,33.8386397905,Continuous,NA
search_included,bmi,q25,28.390929728000003,Continuous,NA
search_included,bmi,q75,39.37265554375,Continuous,NA
search_included,bmi,min,16.192858663,Continuous,NA
search_included,bmi,max,89.012019185,Continuous,NA
search_included,bmi,freq,304,Continuous,NA
search_included,bmi,missing,0,Continuous,NA
search_included,hba1c,mean,7.273,Continuous,NA
search_included,hba1c,sd,1.9739874420585057,Continuous,NA
search_included,hba1c,median,6.6,Continuous,NA
search_included,hba1c,q25,5.8,Continuous,NA
search_included,hba1c,q75,8.3,Continuous,NA
